departamento,anio,tasa_desercion
Cundinamarca,2016,0.32098765432098764
Guainía,2016,0.0
Huila,2016,0.15235008103727715
La Guajira,2016,0.371900826446281
Magdalena,2016,0.15020641473483645
Meta,2016,0.13789107763615296
Nariño,2016,0.16337285902503293
Norte De Santander,2016,0.1641509433962264
Putumayo,2016,0.16216216216216217
Quindío,2016,0.14172185430463577
Risaralda,2016,0.16626794258373206
Santander,2016,0.3002754820936639
Sucre,2016,0.25656223539373413
Tolima,2016,0.2240848443380089
Valle Del Cauca,2016,0.20957462575959684
Vichada,2016,0.2857142857142857
Departamento de oferta del programa,2016,2016.0
Amazonas,2016,0.0446927374301676
Antioquia,2016,0.15659440604335637
Arauca,2016,0.14055636896046853
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2016,0.06920152091254753
Atlántico,2016,0.11676131754015902
Bogotá D.C.,2016,0.1440581555919664
Bolívar,2016,0.12523966284411966
Boyacá,2016,0.1279089961792289
Caldas,2016,0.12851451337507114
Caquetá,2016,0.18020679468242246
Casanare,2016,0.12224448897795591
Cauca,2016,0.1339277590756073
Cesar,2016,0.11218894981020666
Chocó,2016,0.14127764127764128
Córdoba,2016,0.16437224669603523
Cundinamarca,2016,0.12040840276962798
Guainía,2016,0.07344632768361582
Guaviare,2016,0.16738995660260383
Huila,2016,0.14597861459786146
La Guajira,2016,0.11571571571571572
Magdalena,2016,0.15196337383342137
Meta,2016,0.14089579113211795
Nariño,2016,0.13487829276425475
Norte De Santander,2016,0.13273696575404356
Putumayo,2016,0.08263352368155862
Quindío,2016,0.148987648032599
Risaralda,2016,0.12210240298887662
Santander,2016,0.15840116435771656
Sucre,2016,0.09503885236102809
Tolima,2016,0.16797857664529742
Valle Del Cauca,2016,0.12960868059563663
Vaupés,2016,0.19540229885057472
Vichada,2016,0.1320754716981132
Amazonas,2017,0.216
Antioquia,2017,0.08034902744955463
Arauca,2017,0.11079943899018233
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2017,0.14925373134328357
Atlántico,2017,0.0801476853166714
Bogotá D.C.,2017,0.09484022811623065
Bolívar,2017,0.09598942513218585
Boyacá,2017,0.07796538956434967
Caldas,2017,0.09287239933549561
Caquetá,2017,0.09681014068811812
Casanare,2017,0.1246551724137931
Cauca,2017,0.13086177264915297
Cesar,2017,0.13908860497594785
Chocó,2017,0.11604253351826167
Córdoba,2017,0.12077004060761017
Cundinamarca,2017,0.08268133419612918
Guainía,2017,0.15476190476190477
Guaviare,2017,0.20865139949109415
Huila,2017,0.09143158449775902
La Guajira,2017,0.12939445562954932
Magdalena,2017,0.0665157090291537
Meta,2017,0.10485164394546913
Nariño,2017,0.06982441812984892
Norte De Santander,2017,0.06896166811778626
Putumayo,2017,0.18319719953325556
Quindío,2017,0.1425419497183998
Risaralda,2017,0.08712681052320426
Santander,2017,0.08328036664101963
Sucre,2017,0.08674077014688368
Tolima,2017,0.10733783658739705
Valle Del Cauca,2017,0.08221046443268666
Vaupés,2017,0.07142857142857142
Vichada,2017,0.21666666666666667
Departamento de oferta del programa,2017,2017.0
Amazonas,2017,0.44722222222222224
Antioquia,2017,0.11313395423212395
Arauca,2017,0.08956916099773243
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2017,0.2960750853242321
Atlántico,2017,0.11026712599536906
Bogotá D.C.,2017,0.12559763088413692
Bolívar,2017,0.13057649886412273
Boyacá,2017,0.048008092125739185
Caldas,2017,0.10697592380280448
Caquetá,2017,0.053471667996807665
Casanare,2017,0.12727272727272726
Cauca,2017,0.22221303341051934
Cesar,2017,0.03437283437283437
Chocó,2017,0.04447115384615385
Córdoba,2017,0.1093143596377749
Cundinamarca,2017,0.15224092957078492
Guainía,2017,0.06460674157303371
Guaviare,2017,0.17516152189519024
Huila,2017,0.07105666156202144
La Guajira,2017,0.07659241891363815
Magdalena,2017,0.1772428884026258
Meta,2017,0.08945738960404107
Nariño,2017,0.06370875995449374
Norte De Santander,2017,0.0714879467996675
Putumayo,2017,0.040051679586563305
Quindío,2017,0.10764938386421763
Risaralda,2017,0.1157559198542805
Santander,2017,0.14603101797437146
Sucre,2017,0.15779283639883834
Tolima,2017,0.08718414072316069
Valle Del Cauca,2017,0.11190577249575552
Vaupés,2017,0.0410958904109589
Vichada,2017,0.19532554257095158
Departamento de oferta del programa,2017,2017.0
Amazonas,2017,0.3333333333333333
Antioquia,2017,0.11734117115080263
Arauca,2017,1.0
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2017,0.5454545454545454
Atlántico,2017,0.2115828334102446
Bogotá D.C.,2017,0.22890185455303189
Bolívar,2017,0.30067567567567566
Boyacá,2017,0.07201800450112528
Caldas,2017,0.03964194373401535
Caquetá,2017,0.08602150537634409
Casanare,2017,0.12558139534883722
Cauca,2017,0.3588850174216028
Cesar,2017,0.48
Chocó,2017,0.05970149253731343
Córdoba,2017,0.12812248186946013
Cundinamarca,2017,0.0436241610738255
Guainía,2017,0.2777777777777778
Huila,2017,0.1550068587105624
La Guajira,2017,0.3047404063205418
Magdalena,2017,0.16398016119032857
Meta,2017,0.17513134851138354
Nariño,2017,0.1529790660225443
Norte De Santander,2017,0.08024158757549611
Putumayo,2017,0.15873015873015872
Quindío,2017,0.1220414201183432
Risaralda,2017,0.2423547400611621
Santander,2017,0.23901808785529716
Sucre,2017,0.2193877551020408
Tolima,2017,0.13579163008486977
Valle Del Cauca,2017,0.19834710743801653
Vichada,2017,0.3333333333333333
Departamento de oferta del programa,2017,2017.0
Amazonas,2017,0.45321637426900585
Antioquia,2017,0.11292280809249866
Arauca,2017,0.08853575482406356
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2017,0.29371231696813094
Atlántico,2017,0.07743213938532864
Bogotá D.C.,2017,0.09503590913294085
Bolívar,2017,0.11422281569165253
Boyacá,2017,0.04522962062679052
Caldas,2017,0.13262696382900988
Caquetá,2017,0.05086206896551724
Casanare,2017,0.12784313725490196
Cauca,2017,0.21889030072003388
Cesar,2017,0.026516220028208744
Chocó,2017,0.04154727793696275
Córdoba,2017,0.10244333235207537
Cundinamarca,2017,0.15761094981335547
Guainía,2017,0.05325443786982249
Guaviare,2017,0.17516152189519024
Huila,2017,0.0643061989852195
La Guajira,2017,0.05497326203208556
Magdalena,2017,0.18447751099086912
Meta,2017,0.06986986986986987
Nariño,2017,0.05368763557483731
Norte De Santander,2017,0.07055468678134487
Putumayo,2017,0.03758654797230465
Quindío,2017,0.10496551724137931
Risaralda,2017,0.09863523573200993
Santander,2017,0.13939989558060256
Sucre,2017,0.11190878378378379
Tolima,2017,0.07195893299110825
Valle Del Cauca,2017,0.0970837580488775
Vaupés,2017,0.034722222222222224
Vichada,2017,0.19392917369308602
Amazonas,2018,0.12878787878787878
Antioquia,2018,0.07760066109367889
Arauca,2018,0.08438538205980066
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2018,0.07352941176470588
Atlántico,2018,0.09947756772768891
Bogotá D.C.,2018,0.09186871367503485
Bolívar,2018,0.0909065986786194
Boyacá,2018,0.07627290725417533
Caldas,2018,0.04991636253041363
Caquetá,2018,0.08578157927358374
Casanare,2018,0.11254281520143533
Cauca,2018,0.09440432484770242
Cesar,2018,0.1272251054954649
Chocó,2018,0.13584236864053378
Córdoba,2018,0.07516087516087516
Cundinamarca,2018,0.11060287516336155
Guainía,2018,0.35428571428571426
Guaviare,2018,0.14965986394557823
Huila,2018,0.0866631320190871
La Guajira,2018,0.10595150624540779
Magdalena,2018,0.059917608190235346
Meta,2018,0.113139030371628
Nariño,2018,0.07176981145837132
Norte De Santander,2018,0.056811948862917176
Putumayo,2018,0.17142857142857143
